GO ID	GO term	Organism	Proteome File
GO:0016459	myosin complex	C. elegans	UP000001940_6239
GO:0016477	cell migration	C. elegans	UP000001940_6239
GO:0016485	protein processing	C. elegans	UP000001940_6239
GO:0016579	protein deubiquitination	C. elegans	UP000001940_6239
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	C. elegans	UP000001940_6239
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	C. elegans	UP000001940_6239
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	C. elegans	UP000001940_6239
GO:0016757	glycosyltransferase activity	C. elegans	UP000001940_6239
GO:0016887	ATP hydrolysis activity	C. elegans	UP000001940_6239
GO:0017056	structural constituent of nuclear pore	C. elegans	UP000001940_6239
GO:0017151	DEAD/H-box RNA helicase binding	C. elegans	UP000001940_6239
GO:0018105	peptidyl-serine phosphorylation	C. elegans	UP000001940_6239
GO:0018107	peptidyl-threonine phosphorylation	C. elegans	UP000001940_6239
GO:0018108	peptidyl-tyrosine phosphorylation	C. elegans	UP000001940_6239
GO:0018991	oviposition	C. elegans	UP000001940_6239
GO:0018996	molting cycle, collagen and cuticulin-based cuticle	C. elegans	UP000001940_6239
GO:0019899	enzyme binding	C. elegans	UP000001940_6239
GO:0019901	protein kinase binding	C. elegans	UP000001940_6239
GO:0020037	heme binding	C. elegans	UP000001940_6239
GO:0022841	potassium ion leak channel activity	C. elegans	UP000001940_6239
GO:0022848	acetylcholine-gated cation-selective channel activity	C. elegans	UP000001940_6239
GO:0022857	transmembrane transporter activity	C. elegans	UP000001940_6239
GO:0030050	vesicle transport along actin filament	C. elegans	UP000001940_6239
GO:0030054	cell junction	C. elegans	UP000001940_6239
GO:0030056	hemidesmosome	C. elegans	UP000001940_6239
GO:0030139	endocytic vesicle	C. elegans	UP000001940_6239
GO:0030154	cell differentiation	C. elegans	UP000001940_6239
GO:0030170	pyridoxal phosphate binding	C. elegans	UP000001940_6239
GO:0030322	stabilization of membrane potential	C. elegans	UP000001940_6239
GO:0030334	regulation of cell migration	C. elegans	UP000001940_6239
GO:0030421	defecation	C. elegans	UP000001940_6239
GO:0030422	production of siRNA involved in RNA interference	C. elegans	UP000001940_6239
GO:0030424	axon	C. elegans	UP000001940_6239
GO:0030425	dendrite	C. elegans	UP000001940_6239
GO:0030433	ubiquitin-dependent ERAD pathway	C. elegans	UP000001940_6239
GO:0030522	intracellular receptor signaling pathway	C. elegans	UP000001940_6239
GO:0030594	neurotransmitter receptor activity	C. elegans	UP000001940_6239
GO:0030659	cytoplasmic vesicle membrane	C. elegans	UP000001940_6239
GO:0030864	cortical actin cytoskeleton	C. elegans	UP000001940_6239
GO:0030866	cortical actin cytoskeleton organization	C. elegans	UP000001940_6239
GO:0031012	extracellular matrix	C. elegans	UP000001940_6239
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	C. elegans	UP000001940_6239
GO:0031267	small GTPase binding	C. elegans	UP000001940_6239
GO:0031410	cytoplasmic vesicle	C. elegans	UP000001940_6239
GO:0031430	M band	C. elegans	UP000001940_6239
GO:0031982	vesicle	C. elegans	UP000001940_6239
GO:0032508	DNA duplex unwinding	C. elegans	UP000001940_6239
GO:0032880	regulation of protein localization	C. elegans	UP000001940_6239
GO:0033563	dorsal/ventral axon guidance	C. elegans	UP000001940_6239
GO:0033674	positive regulation of kinase activity	C. elegans	UP000001940_6239
GO:0033692	cellular polysaccharide biosynthetic process	C. elegans	UP000001940_6239
GO:0034220	ion transmembrane transport	C. elegans	UP000001940_6239
GO:0034707	chloride channel complex	C. elegans	UP000001940_6239
GO:0034765	regulation of ion transmembrane transport	C. elegans	UP000001940_6239
GO:0035091	phosphatidylinositol binding	C. elegans	UP000001940_6239
GO:0035198	miRNA binding	C. elegans	UP000001940_6239
GO:0035235	ionotropic glutamate receptor signaling pathway	C. elegans	UP000001940_6239
GO:0035262	gonad morphogenesis	C. elegans	UP000001940_6239
GO:0035335	peptidyl-tyrosine dephosphorylation	C. elegans	UP000001940_6239
GO:0035556	intracellular signal transduction	C. elegans	UP000001940_6239
GO:0035725	sodium ion transmembrane transport	C. elegans	UP000001940_6239
GO:0036064	ciliary basal body	C. elegans	UP000001940_6239
GO:0040011	locomotion	C. elegans	UP000001940_6239
GO:0040012	regulation of locomotion	C. elegans	UP000001940_6239
GO:0040017	positive regulation of locomotion	C. elegans	UP000001940_6239
GO:0040018	positive regulation of multicellular organism growth	C. elegans	UP000001940_6239
GO:0040024	dauer larval development	C. elegans	UP000001940_6239
GO:0040025	vulval development	C. elegans	UP000001940_6239
GO:0040026	positive regulation of vulval development	C. elegans	UP000001940_6239
GO:0040027	negative regulation of vulval development	C. elegans	UP000001940_6239
GO:0040028	regulation of vulval development	C. elegans	UP000001940_6239
GO:0040034	regulation of development, heterochronic	C. elegans	UP000001940_6239
GO:0040038	polar body extrusion after meiotic divisions	C. elegans	UP000001940_6239
GO:0042073	intraciliary transport	C. elegans	UP000001940_6239
GO:0042277	peptide binding	C. elegans	UP000001940_6239
GO:0042391	regulation of membrane potential	C. elegans	UP000001940_6239
GO:0042393	histone binding	C. elegans	UP000001940_6239
GO:0042594	response to starvation	C. elegans	UP000001940_6239
GO:0042626	ATPase-coupled transmembrane transporter activity	C. elegans	UP000001940_6239
GO:0042659	regulation of cell fate specification	C. elegans	UP000001940_6239
GO:0043005	neuron projection	C. elegans	UP000001940_6239
GO:0043025	neuronal cell body	C. elegans	UP000001940_6239
GO:0043051	regulation of pharyngeal pumping	C. elegans	UP000001940_6239
GO:0043053	dauer entry	C. elegans	UP000001940_6239
GO:0043171	peptide catabolic process	C. elegans	UP000001940_6239
GO:0043186	P granule	C. elegans	UP000001940_6239
GO:0043204	perikaryon	C. elegans	UP000001940_6239
GO:0043231	intracellular membrane-bounded organelle	C. elegans	UP000001940_6239
GO:0043235	receptor complex	C. elegans	UP000001940_6239
GO:0043547	positive regulation of GTPase activity	C. elegans	UP000001940_6239
GO:0043565	sequence-specific DNA binding	C. elegans	UP000001940_6239
GO:0045121	membrane raft	C. elegans	UP000001940_6239
GO:0045132	meiotic chromosome segregation	C. elegans	UP000001940_6239
GO:0045138	nematode male tail tip morphogenesis	C. elegans	UP000001940_6239
GO:0045167	asymmetric protein localization involved in cell fate determination	C. elegans	UP000001940_6239
GO:0045202	synapse	C. elegans	UP000001940_6239
GO:0045211	postsynaptic membrane	C. elegans	UP000001940_6239
GO:0045892	negative regulation of transcription, DNA-templated	C. elegans	UP000001940_6239
GO:0045944	positive regulation of transcription by RNA polymerase II	C. elegans	UP000001940_6239
GO:0046662	regulation of oviposition	C. elegans	UP000001940_6239
GO:0046716	muscle cell cellular homeostasis	C. elegans	UP000001940_6239
GO:0046872	metal ion binding	C. elegans	UP000001940_6239
GO:0048015	phosphatidylinositol-mediated signaling	C. elegans	UP000001940_6239
GO:0048471	perinuclear region of cytoplasm	C. elegans	UP000001940_6239
GO:0048477	oogenesis	C. elegans	UP000001940_6239
GO:0048598	embryonic morphogenesis	C. elegans	UP000001940_6239
GO:0050660	flavin adenine dinucleotide binding	C. elegans	UP000001940_6239
GO:0050790	regulation of catalytic activity	C. elegans	UP000001940_6239
GO:0050839	cell adhesion molecule binding	C. elegans	UP000001940_6239
GO:0050877	nervous system process	C. elegans	UP000001940_6239
GO:0051015	actin filament binding	C. elegans	UP000001940_6239
GO:0051301	cell division	C. elegans	UP000001940_6239
GO:0051307	meiotic chromosome separation	C. elegans	UP000001940_6239
GO:0051321	meiotic cell cycle	C. elegans	UP000001940_6239
GO:0052689	carboxylic ester hydrolase activity	C. elegans	UP000001940_6239
GO:0055085	transmembrane transport	C. elegans	UP000001940_6239
GO:0060079	excitatory postsynaptic potential	C. elegans	UP000001940_6239
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	C. elegans	UP000001940_6239
GO:0061630	ubiquitin protein ligase activity	C. elegans	UP000001940_6239
GO:0070006	metalloaminopeptidase activity	C. elegans	UP000001940_6239
GO:0070482	response to oxygen levels	C. elegans	UP000001940_6239
GO:0070588	calcium ion transmembrane transport	C. elegans	UP000001940_6239
GO:0070986	left/right axis specification	C. elegans	UP000001940_6239
GO:0071805	potassium ion transmembrane transport	C. elegans	UP000001940_6239
GO:0071949	FAD binding	C. elegans	UP000001940_6239
GO:0072686	mitotic spindle	C. elegans	UP000001940_6239
GO:0090597	nematode male tail mating organ morphogenesis	C. elegans	UP000001940_6239
GO:0090630	activation of GTPase activity	C. elegans	UP000001940_6239
GO:0097730	non-motile cilium	C. elegans	UP000001940_6239
GO:0098609	cell-cell adhesion	C. elegans	UP000001940_6239
GO:0098655	cation transmembrane transport	C. elegans	UP000001940_6239
GO:0098656	anion transmembrane transport	C. elegans	UP000001940_6239
GO:0098703	calcium ion import across plasma membrane	C. elegans	UP000001940_6239
GO:0106310	protein serine kinase activity	C. elegans	UP000001940_6239
GO:0140359	ABC-type transporter activity	C. elegans	UP000001940_6239
GO:0140658	ATP-dependent chromatin remodeler activity	C. elegans	UP000001940_6239
GO:1902074	response to salt	C. elegans	UP000001940_6239
GO:1902475	L-alpha-amino acid transmembrane transport	C. elegans	UP000001940_6239
GO:1902476	chloride transmembrane transport	C. elegans	UP000001940_6239
GO:1902600	proton transmembrane transport	C. elegans	UP000001940_6239
GO:1990573	potassium ion import across plasma membrane	C. elegans	UP000001940_6239
GO:0000146	microfilament motor activity	C. lupusfamiliaris	UP000002254_9615
GO:0000226	microtubule cytoskeleton organization	C. lupusfamiliaris	UP000002254_9615
GO:0000902	cell morphogenesis	C. lupusfamiliaris	UP000002254_9615
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	C. lupusfamiliaris	UP000002254_9615
GO:0003341	cilium movement	C. lupusfamiliaris	UP000002254_9615
GO:0003677	DNA binding	C. lupusfamiliaris	UP000002254_9615
GO:0003678	DNA helicase activity	C. lupusfamiliaris	UP000002254_9615
GO:0003724	RNA helicase activity	C. lupusfamiliaris	UP000002254_9615
GO:0003774	cytoskeletal motor activity	C. lupusfamiliaris	UP000002254_9615
GO:0003777	microtubule motor activity	C. lupusfamiliaris	UP000002254_9615
GO:0003779	actin binding	C. lupusfamiliaris	UP000002254_9615
GO:0003824	catalytic activity	C. lupusfamiliaris	UP000002254_9615
GO:0004016	adenylate cyclase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004222	metalloendopeptidase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004386	helicase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004435	phosphatidylinositol phospholipase C activity	C. lupusfamiliaris	UP000002254_9615
GO:0004672	protein kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004674	protein serine/threonine kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004712	protein serine/threonine/tyrosine kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004714	transmembrane receptor protein tyrosine kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004715	non-membrane spanning protein tyrosine kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0004843	thiol-dependent deubiquitinase	C. lupusfamiliaris	UP000002254_9615
GO:0005085	guanyl-nucleotide exchange factor activity	C. lupusfamiliaris	UP000002254_9615
GO:0005096	GTPase activator activity	C. lupusfamiliaris	UP000002254_9615
GO:0005201	extracellular matrix structural constituent	C. lupusfamiliaris	UP000002254_9615
GO:0005248	voltage-gated sodium channel activity	C. lupusfamiliaris	UP000002254_9615
GO:0005509	calcium ion binding	C. lupusfamiliaris	UP000002254_9615
GO:0005516	calmodulin binding	C. lupusfamiliaris	UP000002254_9615
GO:0005524	ATP binding	C. lupusfamiliaris	UP000002254_9615
GO:0005604	basement membrane	C. lupusfamiliaris	UP000002254_9615
GO:0005634	nucleus	C. lupusfamiliaris	UP000002254_9615
GO:0005654	nucleoplasm	C. lupusfamiliaris	UP000002254_9615
GO:0005737	cytoplasm	C. lupusfamiliaris	UP000002254_9615
GO:0005813	centrosome	C. lupusfamiliaris	UP000002254_9615
GO:0005829	cytosol	C. lupusfamiliaris	UP000002254_9615
GO:0005856	cytoskeleton	C. lupusfamiliaris	UP000002254_9615
GO:0005871	kinesin complex	C. lupusfamiliaris	UP000002254_9615
GO:0005874	microtubule	C. lupusfamiliaris	UP000002254_9615
GO:0005887	integral component of plasma membrane	C. lupusfamiliaris	UP000002254_9615
GO:0005891	voltage-gated calcium channel complex	C. lupusfamiliaris	UP000002254_9615
GO:0005911	cell-cell junction	C. lupusfamiliaris	UP000002254_9615
GO:0005912	adherens junction	C. lupusfamiliaris	UP000002254_9615
GO:0005925	focal adhesion	C. lupusfamiliaris	UP000002254_9615
GO:0006171	cAMP biosynthetic process	C. lupusfamiliaris	UP000002254_9615
GO:0006281	DNA repair	C. lupusfamiliaris	UP000002254_9615
GO:0006325	chromatin organization	C. lupusfamiliaris	UP000002254_9615
GO:0006338	chromatin remodeling	C. lupusfamiliaris	UP000002254_9615
GO:0006355	regulation of transcription, DNA-templated	C. lupusfamiliaris	UP000002254_9615
GO:0006357	regulation of transcription by RNA polymerase II	C. lupusfamiliaris	UP000002254_9615
GO:0006468	protein phosphorylation	C. lupusfamiliaris	UP000002254_9615
GO:0006508	proteolysis	C. lupusfamiliaris	UP000002254_9615
GO:0006897	endocytosis	C. lupusfamiliaris	UP000002254_9615
GO:0007018	microtubule-based movement	C. lupusfamiliaris	UP000002254_9615
GO:0007043	cell-cell junction assembly	C. lupusfamiliaris	UP000002254_9615
GO:0007155	cell adhesion	C. lupusfamiliaris	UP000002254_9615
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	C. lupusfamiliaris	UP000002254_9615
GO:0007160	cell-matrix adhesion	C. lupusfamiliaris	UP000002254_9615
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	C. lupusfamiliaris	UP000002254_9615
GO:0007229	integrin-mediated signaling pathway	C. lupusfamiliaris	UP000002254_9615
GO:0007264	small GTPase mediated signal transduction	C. lupusfamiliaris	UP000002254_9615
GO:0007411	axon guidance	C. lupusfamiliaris	UP000002254_9615
GO:0008013	beta-catenin binding	C. lupusfamiliaris	UP000002254_9615
GO:0008017	microtubule binding	C. lupusfamiliaris	UP000002254_9615
GO:0008270	zinc ion binding	C. lupusfamiliaris	UP000002254_9615
GO:0008305	integrin complex	C. lupusfamiliaris	UP000002254_9615
GO:0008569	minus-end-directed microtubule motor activity	C. lupusfamiliaris	UP000002254_9615
GO:0016020	membrane	C. lupusfamiliaris	UP000002254_9615
GO:0016324	apical plasma membrane	C. lupusfamiliaris	UP000002254_9615
GO:0016342	catenin complex	C. lupusfamiliaris	UP000002254_9615
GO:0016459	myosin complex	C. lupusfamiliaris	UP000002254_9615
GO:0016477	cell migration	C. lupusfamiliaris	UP000002254_9615
GO:0016567	protein ubiquitination	C. lupusfamiliaris	UP000002254_9615
GO:0016579	protein deubiquitination	C. lupusfamiliaris	UP000002254_9615
GO:0016887	ATP hydrolysis activity	C. lupusfamiliaris	UP000002254_9615
GO:0017154	semaphorin receptor activity	C. lupusfamiliaris	UP000002254_9615
GO:0018105	peptidyl-serine phosphorylation	C. lupusfamiliaris	UP000002254_9615
GO:0018108	peptidyl-tyrosine phosphorylation	C. lupusfamiliaris	UP000002254_9615
GO:0019228	neuronal action potential	C. lupusfamiliaris	UP000002254_9615
GO:0030036	actin cytoskeleton organization	C. lupusfamiliaris	UP000002254_9615
GO:0030198	extracellular matrix organization	C. lupusfamiliaris	UP000002254_9615
GO:0030215	semaphorin receptor binding	C. lupusfamiliaris	UP000002254_9615
GO:0030424	axon	C. lupusfamiliaris	UP000002254_9615
GO:0031012	extracellular matrix	C. lupusfamiliaris	UP000002254_9615
GO:0031267	small GTPase binding	C. lupusfamiliaris	UP000002254_9615
GO:0032508	DNA duplex unwinding	C. lupusfamiliaris	UP000002254_9615
GO:0033627	cell adhesion mediated by integrin	C. lupusfamiliaris	UP000002254_9615
GO:0033674	positive regulation of kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0034220	ion transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0034765	regulation of ion transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0035091	phosphatidylinositol binding	C. lupusfamiliaris	UP000002254_9615
GO:0035235	ionotropic glutamate receptor signaling pathway	C. lupusfamiliaris	UP000002254_9615
GO:0035556	intracellular signal transduction	C. lupusfamiliaris	UP000002254_9615
GO:0035725	sodium ion transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0042393	histone binding	C. lupusfamiliaris	UP000002254_9615
GO:0042626	ATPase-coupled transmembrane transporter activity	C. lupusfamiliaris	UP000002254_9615
GO:0043087	regulation of GTPase activity	C. lupusfamiliaris	UP000002254_9615
GO:0043235	receptor complex	C. lupusfamiliaris	UP000002254_9615
GO:0045211	postsynaptic membrane	C. lupusfamiliaris	UP000002254_9615
GO:0045296	cadherin binding	C. lupusfamiliaris	UP000002254_9615
GO:0045332	phospholipid translocation	C. lupusfamiliaris	UP000002254_9615
GO:0046777	protein autophosphorylation	C. lupusfamiliaris	UP000002254_9615
GO:0046872	metal ion binding	C. lupusfamiliaris	UP000002254_9615
GO:0048015	phosphatidylinositol-mediated signaling	C. lupusfamiliaris	UP000002254_9615
GO:0050790	regulation of catalytic activity	C. lupusfamiliaris	UP000002254_9615
GO:0051015	actin filament binding	C. lupusfamiliaris	UP000002254_9615
GO:0051056	regulation of small GTPase mediated signal transduction	C. lupusfamiliaris	UP000002254_9615
GO:0055085	transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0061630	ubiquitin protein ligase activity	C. lupusfamiliaris	UP000002254_9615
GO:0070588	calcium ion transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0071526	semaphorin-plexin signaling pathway	C. lupusfamiliaris	UP000002254_9615
GO:0071805	potassium ion transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0086010	membrane depolarization during action potential	C. lupusfamiliaris	UP000002254_9615
GO:0090630	activation of GTPase activity	C. lupusfamiliaris	UP000002254_9615
GO:0098609	cell-cell adhesion	C. lupusfamiliaris	UP000002254_9615
GO:0098655	cation transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0098978	glutamatergic synapse	C. lupusfamiliaris	UP000002254_9615
GO:0106310	protein serine kinase activity	C. lupusfamiliaris	UP000002254_9615
GO:0110165	cellular anatomical entity	C. lupusfamiliaris	UP000002254_9615
GO:0140326	ATPase-coupled intramembrane lipid transporter activity	C. lupusfamiliaris	UP000002254_9615
GO:0140359	ABC-type transporter activity	C. lupusfamiliaris	UP000002254_9615
GO:0140658	ATP-dependent chromatin remodeler activity	C. lupusfamiliaris	UP000002254_9615
GO:1902476	chloride transmembrane transport	C. lupusfamiliaris	UP000002254_9615
GO:0000146	microfilament motor activity	D. rerio	UP000000437_7955
GO:0000226	microtubule cytoskeleton organization	D. rerio	UP000000437_7955
GO:0000723	telomere maintenance	D. rerio	UP000000437_7955
GO:0000902	cell morphogenesis	D. rerio	UP000000437_7955
GO:0001501	skeletal system development	D. rerio	UP000000437_7955
GO:0001755	neural crest cell migration	D. rerio	UP000000437_7955
GO:0002116	semaphorin receptor complex	D. rerio	UP000000437_7955
GO:0002244	hematopoietic progenitor cell differentiation	D. rerio	UP000000437_7955
GO:0003341	cilium movement	D. rerio	UP000000437_7955
GO:0003677	DNA binding	D. rerio	UP000000437_7955
GO:0003678	DNA helicase activity	D. rerio	UP000000437_7955
GO:0003682	chromatin binding	D. rerio	UP000000437_7955
GO:0003724	RNA helicase activity	D. rerio	UP000000437_7955
GO:0003774	cytoskeletal motor activity	D. rerio	UP000000437_7955
GO:0003777	microtubule motor activity	D. rerio	UP000000437_7955
GO:0003779	actin binding	D. rerio	UP000000437_7955
GO:0004016	adenylate cyclase activity	D. rerio	UP000000437_7955
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	D. rerio	UP000000437_7955
GO:0004222	metalloendopeptidase activity	D. rerio	UP000000437_7955
GO:0004435	phosphatidylinositol phospholipase C activity	D. rerio	UP000000437_7955
GO:0004672	protein kinase activity	D. rerio	UP000000437_7955
GO:0004674	protein serine/threonine kinase activity	D. rerio	UP000000437_7955
GO:0004698	calcium-dependent protein kinase C activity	D. rerio	UP000000437_7955
GO:0004712	protein serine/threonine/tyrosine kinase activity	D. rerio	UP000000437_7955
GO:0004713	protein tyrosine kinase activity	D. rerio	UP000000437_7955
GO:0004714	transmembrane receptor protein tyrosine kinase activity	D. rerio	UP000000437_7955
GO:0004715	non-membrane spanning protein tyrosine kinase activity	D. rerio	UP000000437_7955
GO:0004843	thiol-dependent deubiquitinase	D. rerio	UP000000437_7955
GO:0004972	NMDA glutamate receptor activity	D. rerio	UP000000437_7955
GO:0005044	scavenger receptor activity	D. rerio	UP000000437_7955
GO:0005085	guanyl-nucleotide exchange factor activity	D. rerio	UP000000437_7955
GO:0005096	GTPase activator activity	D. rerio	UP000000437_7955
GO:0005178	integrin binding	D. rerio	UP000000437_7955
GO:0005201	extracellular matrix structural constituent	D. rerio	UP000000437_7955
GO:0005249	voltage-gated potassium channel activity	D. rerio	UP000000437_7955
GO:0005262	calcium channel activity	D. rerio	UP000000437_7955
GO:0005319	lipid transporter activity	D. rerio	UP000000437_7955
GO:0005388	P-type calcium transporter activity	D. rerio	UP000000437_7955
GO:0005452	inorganic anion exchanger activity	D. rerio	UP000000437_7955
GO:0005509	calcium ion binding	D. rerio	UP000000437_7955
GO:0005515	protein binding	D. rerio	UP000000437_7955
GO:0005516	calmodulin binding	D. rerio	UP000000437_7955
GO:0005524	ATP binding	D. rerio	UP000000437_7955
GO:0005581	collagen trimer	D. rerio	UP000000437_7955
GO:0005604	basement membrane	D. rerio	UP000000437_7955
GO:0005634	nucleus	D. rerio	UP000000437_7955
GO:0005654	nucleoplasm	D. rerio	UP000000437_7955
GO:0005737	cytoplasm	D. rerio	UP000000437_7955
GO:0005813	centrosome	D. rerio	UP000000437_7955
GO:0005829	cytosol	D. rerio	UP000000437_7955
GO:0005856	cytoskeleton	D. rerio	UP000000437_7955
GO:0005871	kinesin complex	D. rerio	UP000000437_7955
GO:0005874	microtubule	D. rerio	UP000000437_7955
GO:0005882	intermediate filament	D. rerio	UP000000437_7955
GO:0005886	plasma membrane	D. rerio	UP000000437_7955
GO:0005887	integral component of plasma membrane	D. rerio	UP000000437_7955
GO:0005891	voltage-gated calcium channel complex	D. rerio	UP000000437_7955
GO:0005902	microvillus	D. rerio	UP000000437_7955
GO:0005911	cell-cell junction	D. rerio	UP000000437_7955
GO:0005912	adherens junction	D. rerio	UP000000437_7955
GO:0005925	focal adhesion	D. rerio	UP000000437_7955
GO:0005930	axoneme	D. rerio	UP000000437_7955
GO:0006171	cAMP biosynthetic process	D. rerio	UP000000437_7955
GO:0006281	DNA repair	D. rerio	UP000000437_7955
GO:0006310	DNA recombination	D. rerio	UP000000437_7955
GO:0006325	chromatin organization	D. rerio	UP000000437_7955
GO:0006338	chromatin remodeling	D. rerio	UP000000437_7955
GO:0006468	protein phosphorylation	D. rerio	UP000000437_7955
GO:0006897	endocytosis	D. rerio	UP000000437_7955
GO:0006898	receptor-mediated endocytosis	D. rerio	UP000000437_7955
GO:0006956	complement activation	D. rerio	UP000000437_7955
GO:0007010	cytoskeleton organization	D. rerio	UP000000437_7955
GO:0007018	microtubule-based movement	D. rerio	UP000000437_7955
GO:0007043	cell-cell junction assembly	D. rerio	UP000000437_7955
GO:0007154	cell communication	D. rerio	UP000000437_7955
GO:0007155	cell adhesion	D. rerio	UP000000437_7955
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	D. rerio	UP000000437_7955
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	D. rerio	UP000000437_7955
GO:0007160	cell-matrix adhesion	D. rerio	UP000000437_7955
GO:0007162	negative regulation of cell adhesion	D. rerio	UP000000437_7955
GO:0007166	cell surface receptor signaling pathway	D. rerio	UP000000437_7955
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	D. rerio	UP000000437_7955
GO:0007224	smoothened signaling pathway	D. rerio	UP000000437_7955
GO:0007229	integrin-mediated signaling pathway	D. rerio	UP000000437_7955
GO:0007409	axonogenesis	D. rerio	UP000000437_7955
GO:0007411	axon guidance	D. rerio	UP000000437_7955
GO:0008017	microtubule binding	D. rerio	UP000000437_7955
GO:0008104	protein localization	D. rerio	UP000000437_7955
GO:0008270	zinc ion binding	D. rerio	UP000000437_7955
GO:0008286	insulin receptor signaling pathway	D. rerio	UP000000437_7955
GO:0008305	integrin complex	D. rerio	UP000000437_7955
GO:0008331	high voltage-gated calcium channel activity	D. rerio	UP000000437_7955
GO:0008569	minus-end-directed microtubule motor activity	D. rerio	UP000000437_7955
GO:0008574	plus-end-directed microtubule motor activity	D. rerio	UP000000437_7955
GO:0009888	tissue development	D. rerio	UP000000437_7955
GO:0009925	basal plasma membrane	D. rerio	UP000000437_7955
GO:0009986	cell surface	D. rerio	UP000000437_7955
GO:0010468	regulation of gene expression	D. rerio	UP000000437_7955
GO:0014069	postsynaptic density	D. rerio	UP000000437_7955
GO:0015276	ligand-gated ion channel activity	D. rerio	UP000000437_7955
GO:0015293	symporter activity	D. rerio	UP000000437_7955
GO:0015629	actin cytoskeleton	D. rerio	UP000000437_7955
GO:0015701	bicarbonate transport	D. rerio	UP000000437_7955
GO:0016020	membrane	D. rerio	UP000000437_7955
GO:0016303	1-phosphatidylinositol-3-kinase activity	D. rerio	UP000000437_7955
GO:0016324	apical plasma membrane	D. rerio	UP000000437_7955
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	D. rerio	UP000000437_7955
GO:0016342	catenin complex	D. rerio	UP000000437_7955
GO:0016358	dendrite development	D. rerio	UP000000437_7955
GO:0016459	myosin complex	D. rerio	UP000000437_7955
GO:0016477	cell migration	D. rerio	UP000000437_7955
GO:0016485	protein processing	D. rerio	UP000000437_7955
GO:0016887	ATP hydrolysis activity	D. rerio	UP000000437_7955
GO:0017116	single-stranded DNA helicase activity	D. rerio	UP000000437_7955
GO:0017146	NMDA selective glutamate receptor complex	D. rerio	UP000000437_7955
GO:0017154	semaphorin receptor activity	D. rerio	UP000000437_7955
GO:0018105	peptidyl-serine phosphorylation	D. rerio	UP000000437_7955
GO:0018108	peptidyl-tyrosine phosphorylation	D. rerio	UP000000437_7955
GO:0021591	ventricular system development	D. rerio	UP000000437_7955
GO:0022857	transmembrane transporter activity	D. rerio	UP000000437_7955
GO:0030036	actin cytoskeleton organization	D. rerio	UP000000437_7955
GO:0030050	vesicle transport along actin filament	D. rerio	UP000000437_7955
GO:0030054	cell junction	D. rerio	UP000000437_7955
GO:0030139	endocytic vesicle	D. rerio	UP000000437_7955
GO:0030198	extracellular matrix organization	D. rerio	UP000000437_7955
GO:0030215	semaphorin receptor binding	D. rerio	UP000000437_7955
GO:0030335	positive regulation of cell migration	D. rerio	UP000000437_7955
GO:0030424	axon	D. rerio	UP000000437_7955
GO:0030864	cortical actin cytoskeleton	D. rerio	UP000000437_7955
GO:0030866	cortical actin cytoskeleton organization	D. rerio	UP000000437_7955
GO:0031012	extracellular matrix	D. rerio	UP000000437_7955
GO:0031122	cytoplasmic microtubule organization	D. rerio	UP000000437_7955
GO:0031267	small GTPase binding	D. rerio	UP000000437_7955
GO:0031290	retinal ganglion cell axon guidance	D. rerio	UP000000437_7955
GO:0031982	vesicle	D. rerio	UP000000437_7955
GO:0032101	regulation of response to external stimulus	D. rerio	UP000000437_7955
GO:0032452	histone demethylase activity	D. rerio	UP000000437_7955
GO:0032508	DNA duplex unwinding	D. rerio	UP000000437_7955
